,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
44,0.181,https://api.spotify.com/v1/audio-analysis/0dBXCFV75G0mdi5fo7eO9v,0.623,287600.0,0.592,0dBXCFV75G0mdi5fo7eO9v,0.0128,11.0,0.332,-10.141,1.0,0.084,97.979,4.0,https://api.spotify.com/v1/tracks/0dBXCFV75G0mdi5fo7eO9v,audio_features,spotify:track:0dBXCFV75G0mdi5fo7eO9v,0.241
45,0.432,https://api.spotify.com/v1/audio-analysis/5ND2pMuoFVtT0Ocug5A4KT,0.491,243560.0,0.393,5ND2pMuoFVtT0Ocug5A4KT,0.332,8.0,0.108,-8.647,1.0,0.0285,84.791,4.0,https://api.spotify.com/v1/tracks/5ND2pMuoFVtT0Ocug5A4KT,audio_features,spotify:track:5ND2pMuoFVtT0Ocug5A4KT,0.152
46,0.23,https://api.spotify.com/v1/audio-analysis/6fXMuxRTO9vdrsAcbO3X5x,0.593,235080.0,0.466,6fXMuxRTO9vdrsAcbO3X5x,0.661,9.0,0.0738,-9.978,1.0,0.0271,106.007,4.0,https://api.spotify.com/v1/tracks/6fXMuxRTO9vdrsAcbO3X5x,audio_features,spotify:track:6fXMuxRTO9vdrsAcbO3X5x,0.336
47,0.137,https://api.spotify.com/v1/audio-analysis/0Jcij1eWd5bDMU5iPbxe2i,0.725,268747.0,0.801,0Jcij1eWd5bDMU5iPbxe2i,0.0397,5.0,0.133,-5.326,0.0,0.035,129.98,4.0,https://api.spotify.com/v1/tracks/0Jcij1eWd5bDMU5iPbxe2i,audio_features,spotify:track:0Jcij1eWd5bDMU5iPbxe2i,0.666
48,0.229,https://api.spotify.com/v1/audio-analysis/3uEBYVUzx2aft489ui6Nmi,0.58,240973.0,0.787,3uEBYVUzx2aft489ui6Nmi,0.189,9.0,0.0951,-6.591,0.0,0.0296,129.987,4.0,https://api.spotify.com/v1/tracks/3uEBYVUzx2aft489ui6Nmi,audio_features,spotify:track:3uEBYVUzx2aft489ui6Nmi,0.278
49,0.747,https://api.spotify.com/v1/audio-analysis/62Mre4mWZkOGjau4UQtFUV,0.76,306440.0,0.528,62Mre4mWZkOGjau4UQtFUV,0.0157,10.0,0.0965,-11.438,0.0,0.0718,119.989,4.0,https://api.spotify.com/v1/tracks/62Mre4mWZkOGjau4UQtFUV,audio_features,spotify:track:62Mre4mWZkOGjau4UQtFUV,0.571
50,0.0112,https://api.spotify.com/v1/audio-analysis/7iqsSrwZqc8vpdvbyK74pQ,0.557,256440.0,0.797,7iqsSrwZqc8vpdvbyK74pQ,0.00136,0.0,0.158,-6.171,1.0,0.0347,155.983,3.0,https://api.spotify.com/v1/tracks/7iqsSrwZqc8vpdvbyK74pQ,audio_features,spotify:track:7iqsSrwZqc8vpdvbyK74pQ,0.26
51,0.0349,https://api.spotify.com/v1/audio-analysis/1uHb5qa69lHLcFT38fIfUG,0.531,375013.0,0.688,1uHb5qa69lHLcFT38fIfUG,0.0244,7.0,0.112,-6.173,1.0,0.0748,130.008,4.0,https://api.spotify.com/v1/tracks/1uHb5qa69lHLcFT38fIfUG,audio_features,spotify:track:1uHb5qa69lHLcFT38fIfUG,0.461
52,0.000361,https://api.spotify.com/v1/audio-analysis/5lTLT8fOaLOM0VRIiv21j3,0.779,401840.0,0.746,5lTLT8fOaLOM0VRIiv21j3,0.836,2.0,0.0664,-12.572,1.0,0.0823,125.017,5.0,https://api.spotify.com/v1/tracks/5lTLT8fOaLOM0VRIiv21j3,audio_features,spotify:track:5lTLT8fOaLOM0VRIiv21j3,0.792
53,0.241,https://api.spotify.com/v1/audio-analysis/5BJr5jfbbHpcZMy0DoFCVV,0.781,361827.0,0.714,5BJr5jfbbHpcZMy0DoFCVV,0.908,4.0,0.098,-10.613,0.0,0.3,128.006,4.0,https://api.spotify.com/v1/tracks/5BJr5jfbbHpcZMy0DoFCVV,audio_features,spotify:track:5BJr5jfbbHpcZMy0DoFCVV,0.236
